Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,vid_index,frame_number,obj,action,class
302504,302504,302504,104,ZY20210800001/H1/C2/N49/S54/s04/T2,104,Watercup,putdown,Mug
302505,302505,302505,105,ZY20210800001/H1/C2/N49/S54/s04/T2,105,Watercup,putdown,Mug
302506,302506,302506,106,ZY20210800001/H1/C2/N49/S54/s04/T2,106,Watercup,putdown,Mug
302531,302531,302531,131,ZY20210800001/H1/C2/N49/S54/s04/T2,131,Watercup,Grasp,Mug
302532,302532,302532,132,ZY20210800001/H1/C2/N49/S54/s04/T2,132,Watercup,Grasp,Mug
302533,302533,302533,133,ZY20210800001/H1/C2/N49/S54/s04/T2,133,Watercup,Grasp,Mug
302534,302534,302534,134,ZY20210800001/H1/C2/N49/S54/s04/T2,134,Watercup,Grasp,Mug
302535,302535,302535,135,ZY20210800001/H1/C2/N49/S54/s04/T2,135,Watercup,Grasp,Mug
302536,302536,302536,136,ZY20210800001/H1/C2/N49/S54/s04/T2,136,Watercup,Grasp,Mug
302537,302537,302537,137,ZY20210800001/H1/C2/N49/S54/s04/T2,137,Watercup,Grasp,Mug
302538,302538,302538,138,ZY20210800001/H1/C2/N49/S54/s04/T2,138,Watercup,Grasp,Mug
302539,302539,302539,139,ZY20210800001/H1/C2/N49/S54/s04/T2,139,Watercup,Grasp,Mug
302540,302540,302540,140,ZY20210800001/H1/C2/N49/S54/s04/T2,140,Watercup,Grasp,Mug
302541,302541,302541,141,ZY20210800001/H1/C2/N49/S54/s04/T2,141,Watercup,Grasp,Mug
302542,302542,302542,142,ZY20210800001/H1/C2/N49/S54/s04/T2,142,Watercup,Pickup,Mug
302543,302543,302543,143,ZY20210800001/H1/C2/N49/S54/s04/T2,143,Watercup,Pickup,Mug
302544,302544,302544,144,ZY20210800001/H1/C2/N49/S54/s04/T2,144,Watercup,Pickup,Mug
302545,302545,302545,145,ZY20210800001/H1/C2/N49/S54/s04/T2,145,Watercup,Pickup,Mug
302546,302546,302546,146,ZY20210800001/H1/C2/N49/S54/s04/T2,146,Watercup,Pickup,Mug
302547,302547,302547,147,ZY20210800001/H1/C2/N49/S54/s04/T2,147,Watercup,Pickup,Mug
302548,302548,302548,148,ZY20210800001/H1/C2/N49/S54/s04/T2,148,Watercup,carry,Mug
302549,302549,302549,149,ZY20210800001/H1/C2/N49/S54/s04/T2,149,Watercup,carry,Mug
302550,302550,302550,150,ZY20210800001/H1/C2/N49/S54/s04/T2,150,Watercup,carry,Mug
302551,302551,302551,151,ZY20210800001/H1/C2/N49/S54/s04/T2,151,Watercup,carry,Mug
302552,302552,302552,152,ZY20210800001/H1/C2/N49/S54/s04/T2,152,Watercup,carry,Mug
302553,302553,302553,153,ZY20210800001/H1/C2/N49/S54/s04/T2,153,Watercup,carry,Mug
302554,302554,302554,154,ZY20210800001/H1/C2/N49/S54/s04/T2,154,Watercup,carry,Mug
