Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,vid_index,frame_number,obj,action,class
690175,690175,690175,175,ZY20210800001/H1/C12/N48/S169/s01/T1,175,kettle,putdown,Kettle
690176,690176,690176,176,ZY20210800001/H1/C12/N48/S169/s01/T1,176,kettle,putdown,Kettle
690177,690177,690177,177,ZY20210800001/H1/C12/N48/S169/s01/T1,177,kettle,putdown,Kettle
690178,690178,690178,178,ZY20210800001/H1/C12/N48/S169/s01/T1,178,kettle,putdown,Kettle
690179,690179,690179,179,ZY20210800001/H1/C12/N48/S169/s01/T1,179,kettle,putdown,Kettle
690236,690236,690236,236,ZY20210800001/H1/C12/N48/S169/s01/T1,236,kettle,Grasp,Kettle
690237,690237,690237,237,ZY20210800001/H1/C12/N48/S169/s01/T1,237,kettle,Grasp,Kettle
690238,690238,690238,238,ZY20210800001/H1/C12/N48/S169/s01/T1,238,kettle,Grasp,Kettle
690239,690239,690239,239,ZY20210800001/H1/C12/N48/S169/s01/T1,239,kettle,Grasp,Kettle
690240,690240,690240,240,ZY20210800001/H1/C12/N48/S169/s01/T1,240,kettle,Grasp,Kettle
690241,690241,690241,241,ZY20210800001/H1/C12/N48/S169/s01/T1,241,kettle,Pickup,Kettle
690242,690242,690242,242,ZY20210800001/H1/C12/N48/S169/s01/T1,242,kettle,Pickup,Kettle
690243,690243,690243,243,ZY20210800001/H1/C12/N48/S169/s01/T1,243,kettle,Pickup,Kettle
690244,690244,690244,244,ZY20210800001/H1/C12/N48/S169/s01/T1,244,kettle,Pickup,Kettle
690245,690245,690245,245,ZY20210800001/H1/C12/N48/S169/s01/T1,245,kettle,Pickup,Kettle
690246,690246,690246,246,ZY20210800001/H1/C12/N48/S169/s01/T1,246,kettle,Pickup,Kettle
690247,690247,690247,247,ZY20210800001/H1/C12/N48/S169/s01/T1,247,kettle,Pickup,Kettle
690248,690248,690248,248,ZY20210800001/H1/C12/N48/S169/s01/T1,248,kettle,Pickup,Kettle
690249,690249,690249,249,ZY20210800001/H1/C12/N48/S169/s01/T1,249,kettle,carry,Kettle
690250,690250,690250,250,ZY20210800001/H1/C12/N48/S169/s01/T1,250,kettle,carry,Kettle
690251,690251,690251,251,ZY20210800001/H1/C12/N48/S169/s01/T1,251,kettle,carry,Kettle
690252,690252,690252,252,ZY20210800001/H1/C12/N48/S169/s01/T1,252,kettle,carry,Kettle
690253,690253,690253,253,ZY20210800001/H1/C12/N48/S169/s01/T1,253,kettle,carry,Kettle
690254,690254,690254,254,ZY20210800001/H1/C12/N48/S169/s01/T1,254,kettle,carry,Kettle
690255,690255,690255,255,ZY20210800001/H1/C12/N48/S169/s01/T1,255,kettle,carry,Kettle
690256,690256,690256,256,ZY20210800001/H1/C12/N48/S169/s01/T1,256,kettle,carry,Kettle
690257,690257,690257,257,ZY20210800001/H1/C12/N48/S169/s01/T1,257,kettle,carry,Kettle
690258,690258,690258,258,ZY20210800001/H1/C12/N48/S169/s01/T1,258,kettle,carry,Kettle
690259,690259,690259,259,ZY20210800001/H1/C12/N48/S169/s01/T1,259,kettle,carry,Kettle
690260,690260,690260,260,ZY20210800001/H1/C12/N48/S169/s01/T1,260,kettle,carry,Kettle
690261,690261,690261,261,ZY20210800001/H1/C12/N48/S169/s01/T1,261,kettle,carry,Kettle
690262,690262,690262,262,ZY20210800001/H1/C12/N48/S169/s01/T1,262,kettle,carry,Kettle
690263,690263,690263,263,ZY20210800001/H1/C12/N48/S169/s01/T1,263,kettle,carry,Kettle
690264,690264,690264,264,ZY20210800001/H1/C12/N48/S169/s01/T1,264,kettle,carry,Kettle
690265,690265,690265,265,ZY20210800001/H1/C12/N48/S169/s01/T1,265,kettle,carry,Kettle
690266,690266,690266,266,ZY20210800001/H1/C12/N48/S169/s01/T1,266,kettle,carry,Kettle
690267,690267,690267,267,ZY20210800001/H1/C12/N48/S169/s01/T1,267,kettle,carry,Kettle
690268,690268,690268,268,ZY20210800001/H1/C12/N48/S169/s01/T1,268,kettle,carry,Kettle
690269,690269,690269,269,ZY20210800001/H1/C12/N48/S169/s01/T1,269,kettle,carry,Kettle
690270,690270,690270,270,ZY20210800001/H1/C12/N48/S169/s01/T1,270,kettle,putdown,Kettle
690271,690271,690271,271,ZY20210800001/H1/C12/N48/S169/s01/T1,271,kettle,putdown,Kettle
690272,690272,690272,272,ZY20210800001/H1/C12/N48/S169/s01/T1,272,kettle,putdown,Kettle
690273,690273,690273,273,ZY20210800001/H1/C12/N48/S169/s01/T1,273,kettle,putdown,Kettle
690274,690274,690274,274,ZY20210800001/H1/C12/N48/S169/s01/T1,274,kettle,putdown,Kettle
690275,690275,690275,275,ZY20210800001/H1/C12/N48/S169/s01/T1,275,kettle,putdown,Kettle
690276,690276,690276,276,ZY20210800001/H1/C12/N48/S169/s01/T1,276,kettle,putdown,Kettle
690277,690277,690277,277,ZY20210800001/H1/C12/N48/S169/s01/T1,277,kettle,putdown,Kettle
690278,690278,690278,278,ZY20210800001/H1/C12/N48/S169/s01/T1,278,kettle,putdown,Kettle
690279,690279,690279,279,ZY20210800001/H1/C12/N48/S169/s01/T1,279,kettle,putdown,Kettle
690280,690280,690280,280,ZY20210800001/H1/C12/N48/S169/s01/T1,280,kettle,putdown,Kettle
690281,690281,690281,281,ZY20210800001/H1/C12/N48/S169/s01/T1,281,kettle,putdown,Kettle
690282,690282,690282,282,ZY20210800001/H1/C12/N48/S169/s01/T1,282,kettle,putdown,Kettle
690283,690283,690283,283,ZY20210800001/H1/C12/N48/S169/s01/T1,283,kettle,putdown,Kettle
690284,690284,690284,284,ZY20210800001/H1/C12/N48/S169/s01/T1,284,kettle,putdown,Kettle
690347,690347,690347,47,ZY20210800003/H3/C12/N14/S173/s04/T1,47,kettle,Grasp,Kettle
690348,690348,690348,48,ZY20210800003/H3/C12/N14/S173/s04/T1,48,kettle,Grasp,Kettle
690349,690349,690349,49,ZY20210800003/H3/C12/N14/S173/s04/T1,49,kettle,Grasp,Kettle
690350,690350,690350,50,ZY20210800003/H3/C12/N14/S173/s04/T1,50,kettle,Grasp,Kettle
690351,690351,690351,51,ZY20210800003/H3/C12/N14/S173/s04/T1,51,kettle,Grasp,Kettle
690352,690352,690352,52,ZY20210800003/H3/C12/N14/S173/s04/T1,52,kettle,Grasp,Kettle
690353,690353,690353,53,ZY20210800003/H3/C12/N14/S173/s04/T1,53,kettle,Grasp,Kettle
690354,690354,690354,54,ZY20210800003/H3/C12/N14/S173/s04/T1,54,kettle,Pickup,Kettle
690355,690355,690355,55,ZY20210800003/H3/C12/N14/S173/s04/T1,55,kettle,Pickup,Kettle
690356,690356,690356,56,ZY20210800003/H3/C12/N14/S173/s04/T1,56,kettle,Pickup,Kettle
690357,690357,690357,57,ZY20210800003/H3/C12/N14/S173/s04/T1,57,kettle,Pickup,Kettle
690358,690358,690358,58,ZY20210800003/H3/C12/N14/S173/s04/T1,58,kettle,Pickup,Kettle
690359,690359,690359,59,ZY20210800003/H3/C12/N14/S173/s04/T1,59,kettle,Pickup,Kettle
690360,690360,690360,60,ZY20210800003/H3/C12/N14/S173/s04/T1,60,kettle,Pickup,Kettle
690361,690361,690361,61,ZY20210800003/H3/C12/N14/S173/s04/T1,61,kettle,Pickup,Kettle
690362,690362,690362,62,ZY20210800003/H3/C12/N14/S173/s04/T1,62,kettle,Pickup,Kettle
690363,690363,690363,63,ZY20210800003/H3/C12/N14/S173/s04/T1,63,kettle,Pickup,Kettle
690364,690364,690364,64,ZY20210800003/H3/C12/N14/S173/s04/T1,64,kettle,Pickup,Kettle
690365,690365,690365,65,ZY20210800003/H3/C12/N14/S173/s04/T1,65,kettle,Pickup,Kettle
690366,690366,690366,66,ZY20210800003/H3/C12/N14/S173/s04/T1,66,kettle,Pickup,Kettle
690367,690367,690367,67,ZY20210800003/H3/C12/N14/S173/s04/T1,67,kettle,Pickup,Kettle
690368,690368,690368,68,ZY20210800003/H3/C12/N14/S173/s04/T1,68,kettle,Pickup,Kettle
690369,690369,690369,69,ZY20210800003/H3/C12/N14/S173/s04/T1,69,kettle,Pickup,Kettle
690370,690370,690370,70,ZY20210800003/H3/C12/N14/S173/s04/T1,70,kettle,Pickup,Kettle
690371,690371,690371,71,ZY20210800003/H3/C12/N14/S173/s04/T1,71,kettle,Pickup,Kettle
690372,690372,690372,72,ZY20210800003/H3/C12/N14/S173/s04/T1,72,kettle,carry,Kettle
690373,690373,690373,73,ZY20210800003/H3/C12/N14/S173/s04/T1,73,kettle,carry,Kettle
690374,690374,690374,74,ZY20210800003/H3/C12/N14/S173/s04/T1,74,kettle,carry,Kettle
690375,690375,690375,75,ZY20210800003/H3/C12/N14/S173/s04/T1,75,kettle,carry,Kettle
